PLZ;Ortsname
6340;Baar
8003;Zürich
8005;Zürich
8006;Zürich
8008;Zürich
8037;Zürich
8038;Zürich
8046;Zürich
8047;Zürich
8048;Zürich
8049;Zürich
8050;Zürich
8052;Zürich
8053;Zürich
8090;Zürich
8104;Weiningen
8105;Regensdorf
8107;Buchs
8112;Otelfingen
8113;Boppelsen
8124;Maur
8125;Zollikerberg
8127;Forch
8134;Adliswil
8135;Langnau am Albis
8142;Uietikon Waldegg
8153;Rümlang
8154;Oberglatt
8155;Niederhasli
8157;Dielsdorf
8164;Bachs
8165;Schleinikon
8172;Niederglatt
8173;Neerach
8175;Windlach
8180;Bülach
8182;Hochfelden
8185;Winkel
8192;Zweidlen
8193;Eglisau
8194;Hüntwangen
8197;Rafz
8247;Flurlingen
8302;Kloten
8304;Wallisellen
8305;Dietlikon
8307;Ottikon
8308;Illnau
8309;Nürensdorf
8320;Fehraltorf
8322;Madetswil
8331;Auslikon
8340;Hinwil
8342;Elsau
8352;Elsau
8400;Winterthur
8402;Winterthur
8404;Winterthur
8405;Winterthur
8408;Winterthur
8409;Winterthur
8413;Neftenbach
8416;Flaach
8424;Embrach
8425;Oberembrach
8427;Freienstein
8442;Hettlingen
8450;Andelfingen
8451;Kleinandelfingen
8452;Niederwil
8460;Marthalen
8462;Rheinau
8466;Trüllikon
8468;Guntalingen
8472;Seuzach
8475;Ossingen
8479;Altikon
8483;Kollbrunn
8484;Weisslingen
8486;Rikon
8487;Rämismühle
8488;Turbenthal
8489;Wildberg
8492;Wila
8493;Saland
8494;Bauma
8496;Steg
8497;Fischenthal
8498;Gibswil
8542;Wiesendangen
8545;Rickenbach-Sulz
8600;Dübendorf
8604;Volketswil
8606;Nänikon
8608;Bubikon
8610;Uster
8615;Wermatswil
8616;Riedikon
8617;Mönchaltorf
8620;Wetzikon
8621;Wetzikon
8623;Wetzikon
8624;Grüt
8626;Ottikon
8627;Grüningen
8630;Rüti
8633;Wolfhausen
8635;Dürnten
8637;Laupen
8700;Küsnacht
8702;Zollikon
8703;Erlenbach
8704;Herrliberg
8706;Meilen
8712;Stäfa
8713;Uerikon
8714;Feldbach
8800;Thalwil
8802;Kilchberg
8803;Rüschlikon
8804;Au
8805;Richterswil
8806;Bäch
8810;Horgen
8815;Horgenberg
8816;Hirzel
8820;Wädenswil
8824;Schönenberg
8902;Urdorf
8907;Wettswil
8908;Hedingen
8909;Zwillikon
8910;Affoltern am Albis
8911;Rifferswil
8912;Obfelden
8913;Ottenbach
8914;Aeugstertal
8915;Hausen am Albis
8933;Maschwanden
8942;Oberrieden
8951;Fahrweid
8952;Schlieren
8953;Dietikon
8954;Geroldswil
